face,x_over_c,y_over_c,z,Cp
435,0.6214045,0.0436496,0.0,-0.15498485
436,0.62408,0.04341665,0.0,-0.15345651
437,0.6267560000000001,0.0431825,0.0,-0.15199318
438,0.6294315,0.0429472,0.0,-0.15053288
439,0.632107,0.042710750000000006,0.0,-0.14899548
440,0.6347825,0.0424731,0.0,-0.14755642
441,0.6374580000000001,0.042234350000000004,0.0,-0.14602203
442,0.640134,0.04199445,0.0,-0.14455079
443,0.6428095,0.041753399999999996,0.0,-0.14309461
444,0.6454850000000001,0.0415112,0.0,-0.1415507
445,0.6481605,0.041267849999999995,0.0,-0.14009872
446,0.650836,0.0410234,0.0,-0.13854582
447,0.6535115,0.04077785,0.0,-0.13710804
448,0.6561870000000001,0.04053115,0.0,-0.13555932
449,0.658863,0.040283349999999996,0.0,-0.13408544
450,0.6615385,0.04003445,0.0,-0.13259651
451,0.6642140000000001,0.0397844,0.0,-0.13104765
452,0.6668895,0.0395333,0.0,-0.12957907
453,0.669565,0.0392811,0.0,-0.12802418
454,0.6722410000000001,0.0390278,0.0,-0.12653407
455,0.6749165,0.03877345,0.0,-0.12504244
456,0.677592,0.038518,0.0,-0.12348053
457,0.6802675,0.03826145,0.0,-0.12200509
458,0.6829430000000001,0.0380038,0.0,-0.12042367
459,0.685619,0.037745100000000004,0.0,-0.11892064
460,0.6882945,0.03748535,0.0,-0.11741879
461,0.6909700000000001,0.0372245,0.0,-0.11581437
462,0.6936455,0.0369626,0.0,-0.11433713
463,0.6963210000000001,0.03669965,0.0,-0.11273147
464,0.6989965,0.03643565,0.0,-0.11123655
465,0.7016720000000001,0.0361706,0.0,-0.10963102
466,0.704348,0.035904500000000006,0.0,-0.10811004
467,0.7070235,0.03563735,0.0,-0.10657121
468,0.7096990000000001,0.03536915,0.0,-0.10494585
469,0.7123745,0.0350999,0.0,-0.10343693
470,0.71505,0.0348296,0.0,-0.10180269
471,0.7177260000000001,0.0345583,0.0,-0.10024615
472,0.7204015,0.034285949999999996,0.0,-0.098693387
473,0.723077,0.03401255,0.0,-0.097042116
474,0.7257525,0.0337381,0.0,-0.095496436
475,0.7284280000000001,0.03346265,0.0,-0.09384272
476,0.7311035,0.0331862,0.0,-0.092283467
477,0.7337790000000001,0.03290865,0.0,-0.09062304
478,0.7364550000000001,0.0326301,0.0,-0.089023209
479,0.7391305,0.032350550000000006,0.0,-0.087421374
480,0.741806,0.03206995,0.0,-0.085733825
481,0.7444815,0.03178835,0.0,-0.084149288
482,0.7471570000000001,0.0315057,0.0,-0.08244181
483,0.749833,0.031222,0.0,-0.080817868
484,0.7525085,0.030937350000000002,0.0,-0.079167052
485,0.7551840000000001,0.03065165,0.0,-0.077453124
486,0.7578595,0.0303649,0.0,-0.075813419
487,0.760535,0.0300772,0.0,-0.074074997
488,0.7632105,0.02978845,0.0,-0.072427346
489,0.7658860000000001,0.02949865,0.0,-0.070665604
490,0.7685620000000001,0.02920785,0.0,-0.068972774
491,0.7712375,0.02891605,0.0,-0.067266333
492,0.7739130000000001,0.028623250000000003,0.0,-0.065478784
493,0.7765885,0.028329450000000003,0.0,-0.063788563
494,0.779264,0.0280346,0.0,-0.061974413
495,0.7819400000000001,0.027738699999999998,0.0,-0.060239188
496,0.7846155,0.027441800000000002,0.0,-0.05846518
497,0.787291,0.0271439,0.0,-0.056624372
498,0.7899665,0.026845,0.0,-0.054879481
499,0.7926420000000001,0.02654505,0.0,-0.05300525
500,0.795318,0.0262441,0.0,-0.051199924
501,0.7979935,0.02594215,0.0,-0.049387048
502,0.8006690000000001,0.02563915,0.0,-0.047480535
503,0.8033445,0.0253351,0.0,-0.045659021
504,0.8060200000000001,0.02503005,0.0,-0.043707903
505,0.8086955,0.024724000000000003,0.0,-0.041874273
506,0.8113710000000001,0.0244169,0.0,-0.039900055
507,0.814047,0.024108749999999998,0.0,-0.038000435
508,0.8167225,0.023799550000000003,0.0,-0.036070382
509,0.8193980000000001,0.023489350000000003,0.0,-0.034048115
510,0.8220735,0.02317815,0.0,-0.03212775
511,0.824749,0.0228659,0.0,-0.030079476
512,0.8274250000000001,0.0225526,0.0,-0.028086403
513,0.8301005,0.022238300000000003,0.0,-0.02608154
514,0.832776,0.02192295,0.0,-0.023971132
515,0.8354515,0.021606550000000002,0.0,-0.021966429
516,0.8381270000000001,0.0212891,0.0,-0.019805482
517,0.8408025,0.0209706,0.0,-0.017744331
518,0.8434780000000001,0.020651049999999997,0.0,-0.015554329
519,0.8461540000000001,0.02033045,0.0,-0.013423469
520,0.8488295,0.0200088,0.0,-0.011259966
521,0.851505,0.019686099999999998,0.0,-0.0090030578
