# NACA0012 V9 SST AoA = 14.5 deg
# x/c          y/c          Cp
0.7511710000  0.0310799000  -0.1489751111
0.7538460000  0.0307948000  -0.1457760000
0.7565220000  0.0305085000  -0.1426088889
0.7591970000  0.0302213000  -0.1394702222
0.7618730000  0.0299331000  -0.1363600000
0.7645480000  0.0296438000  -0.1332791111
0.7672240000  0.0293535000  -0.1302257778
0.7699000000  0.0290622000  -0.1272062222
0.7725750000  0.0287699000  -0.1242115556
0.7752510000  0.0284766000  -0.1212497778
0.7779260000  0.0281823000  -0.1183173333
0.7806020000  0.0278869000  -0.1154115556
0.7832780000  0.0275905000  -0.1125413333
0.7859530000  0.0272931000  -0.1096968889
0.7886290000  0.0269947000  -0.1068853333
0.7913040000  0.0266953000  -0.1041048889
0.7939800000  0.0263948000  -0.1013511111
0.7966560000  0.0260934000  -0.0986337778
0.7993310000  0.0257909000  -0.0959440000
0.8020070000  0.0254874000  -0.0932853333
0.8046820000  0.0251828000  -0.0906577778
0.8073580000  0.0248773000  -0.0880609778
0.8100330000  0.0245707000  -0.0854963556
0.8127090000  0.0242631000  -0.0829599111
0.8153850000  0.0239544000  -0.0804582222
0.8180600000  0.0236447000  -0.0779839111
0.8207360000  0.0233340000  -0.0755432889
0.8234110000  0.0230223000  -0.0731329778
0.8260870000  0.0227095000  -0.0707511111
0.8287630000  0.0223957000  -0.0684052444
0.8314380000  0.0220809000  -0.0660858667
0.8341140000  0.0217650000  -0.0637994667
0.8367890000  0.0214481000  -0.0615432889
0.8394650000  0.0211301000  -0.0593173333
0.8421400000  0.0208111000  -0.0571232000
0.8448160000  0.0204910000  -0.0549570667
0.8474920000  0.0201699000  -0.0528248000
0.8501670000  0.0198477000  -0.0507202667
0.8528430000  0.0195245000  -0.0486468444
0.8555180000  0.0192002000  -0.0466036444
0.8581940000  0.0188748000  -0.0445882667
0.8608700000  0.0185484000  -0.0426049778
0.8635450000  0.0182209000  -0.0406495111
0.8662210000  0.0178924000  -0.0387233778
0.8688960000  0.0175627000  -0.0368258667
0.8715720000  0.0172320000  -0.0349573333
0.8742470000  0.0169002000  -0.0331176889
0.8769230000  0.0165673000  -0.0313044444
0.8795990000  0.0162333000  -0.0295214222
0.8822740000  0.0158983000  -0.0277641778
0.8849500000  0.0155621000  -0.0260350222
0.8876250000  0.0152248000  -0.0243335111
0.8903010000  0.0148864000  -0.0226572444
0.8929770000  0.0145469000  -0.0210095111
0.8956520000  0.0142063000  -0.0193872889
0.8983280000  0.0138646000  -0.0177908444
0.9010030000  0.0135218000  -0.0162203556
0.9036790000  0.0131778000  -0.0146743111
0.9063550000  0.0128327000  -0.0131542222
0.9090300000  0.0124865000  -0.0116579556
0.9117060000  0.0121391000  -0.0101864889
0.9143810000  0.0117906000  -0.0087383467
0.9170570000  0.0114409000  -0.0073142133
0.9197320000  0.0110901000  -0.0059131200
0.9224080000  0.0107381000  -0.0045339378
0.9250840000  0.0103850000  -0.0031782311
0.9277590000  0.0100306000  -0.0018439556
0.9304350000  0.0096751500  -0.0005317680
0.9331100000  0.0093184700  0.0007591991
0.9357860000  0.0089606000  0.0020296267
0.9384620000  0.0086015500  0.0032788178
0.9411370000  0.0082412900  0.0045083378
0.9438130000  0.0078798300  0.0057175200
0.9464880000  0.0075171600  0.0069079200
0.9491640000  0.0071532800  0.0080788089
0.9518390000  0.0067881700  0.0092321778
0.9545150000  0.0064218400  0.0103662222
0.9571910000  0.0060542700  0.0114853333
0.9598660000  0.0056854600  0.0125831111
0.9625420000  0.0053154100  0.0136713778
0.9652170000  0.0049441000  0.0147328000
0.9678930000  0.0045715400  0.0157966222
0.9705690000  0.0041977000  0.0168187556
